Ordes,Sales,count,state
4,872.97,218.2425,AB
66,39786.06,602.8190909,AL
4,3324.99,831.2475,AR
33,18049.95,546.9681818,AZ
72,46222.88,641.9844444,BC
17,11617.66,683.3917647,CA
5,1304.75,260.95,CO
53,32231.17,608.135283,CT
3,2496.96,832.32,DC
60,32892.15,548.2025,DE
32,17028.36,532.13625,FL
3,2262.86,754.2866667,GA
240,147735.67,615.5652917,HI
1,920.72,920.72,IA
261,140981.23,540.1579693,ID
9,2679.27,297.6966667,IL
8,3772.81,471.60125,IN
30,7369.25,245.6416667,KS
5,1628.93,325.786,KY
4,4249.92,1062.48,LA
1,840.98,840.98,MA
335,187157.5,558.6791045,MB
3,1950.98,650.3266667,MD
33,18199.89,551.5118182,ME
48,26284.31,547.5897917,MI
14,10847.76,774.84,MN
3,1458.77,486.2566667,MO
3,659.97,219.99,MS
52,48160.65,926.1663462,MT
14,6161.54,440.11,NC
5,2217.95,443.59,ND
24,12302.75,512.6145833,NE
1,789.99,789.99,NH
5,1703.98,340.796,NJ
58,41844.63,721.4591379,NM
99,60537.88,611.4937374,NV
3,503.22,167.74,NY
5,1164.97,232.994,OH
123,67656.26,550.0508943,OK
4,1270.97,317.7425,ON
4,3399.98,849.995,PA
1,619,619,RI
1,1040.99,1040.99,SC
7,3230.72,461.5314286,SD
36,25489.65,708.0458333,SK
2,6009.71,3004.855,TN
9,4538.93,504.3255556,TX
1,1149.99,1149.99,UT
3,1950.97,650.3233333,VA
39,23834.28,611.1353846,VT
1,499.98,499.98,WA
1,218.63,218.63,WI
,,0,WV
336,170817.6,508.3857143,WY
0,0,0,OR
0,0,0,AK
