Ordes,Sales,count,state
4,$872.97,218.2425,AB
76,"$56,004.43",736.9003947,AL
6,"$4,132.98",688.83,AR
46,"$24,377.93",529.955,AZ
1,$139.00,139,BC
270,"$88,737.54",328.6575556,CA
26,"$15,667.95",602.6134615,CO
9,"$5,502.75",611.4166667,CT
165,"$109,746.21",665.1285455,DC
7,"$4,886.89",698.1271429,DE
418,"$211,563.20",506.1320574,FL
51,"$30,082.15",589.8460784,GA
5,"$6,143.85",1228.77,HI
261,"$172,244.49",659.9405747,IA
1,$920.72,920.72,ID
331,"$186,942.95",564.7823263,IL
11,"$3,759.21",341.7463636,IN
9,"$5,092.75",565.8611111,KS
34,"$10,629.20",312.6235294,KY
11,"$6,478.31",588.9372727,LA
6,"$4,860.92",810.1533333,MA
1,$840.98,840.98,MB
923,"$549,957.88",595.8373564,MD
6,"$2,818.48",469.7466667,ME
41,"$26,067.82",635.8004878,MI
55,"$31,619.15",574.8936364,MN
21,"$14,448.67",688.0319048,MO
4,"$2,958.76",739.69,MS
3,$659.97,219.99,MT
62,"$62,609.61",1009.832419,NC
17,"$8,321.51",489.5005882,ND
5,"$2,867.94",573.588,NE
1,$609.00,609,NH
33,"$20,181.68",611.5660606,NJ
2,"$2,139.97",1069.985,NM
12,"$9,348.85",779.0708333,NV
83,"$67,895.44",818.0173494,NY
143,"$89,770.49",627.7656643,OH
3,"$1,443.72",481.24,OK
5,"$1,522.97",304.594,ON
147,"$86,520.09",588.5720408,PA
5,"$2,126.97",425.394,RI
6,"$4,399.95",733.325,SC
1,$619.00,619,SD
1,"$1,040.99",1040.99,SK
11,"$9,990.69",908.2445455,TN
106,"$89,280.80",842.2716981,TX
4,"$9,857.70",2464.425,UT
27,"$12,645.28",468.3437037,VA
2,"$2,449.95",1224.975,VT
5,"$3,350.95",670.19,WA
42,"$26,817.23",638.5054762,WI
2,$499.98,249.99,WV
1,$218.63,218.63,WY
0,0,0,OR
0,0,0,AK
