count,state
187157.5,MD
147735.67,IA
140981.23,IL
67656.26,PA
60537.88,OH
48160.65,NC
46222.88,CA
41844.63,NY
39786.06,AL
32892.15,FL
32231.17,DC
26284.31,MN
25489.65,TX
23834.28,WI
18199.89,MI
18049.95,AZ
17028.36,GA
12302.75,NJ
11617.66,CO
10847.76,MO
7369.25,KY
6161.54,ND
6009.71,UT
4538.93,VA
4249.92,MA
3772.81,KS
3399.98,SC
3324.99,AR
3230.72,TN
2679.27,IN
2496.96,DE
2262.86,HI
2217.95,NE
1950.98,ME
1950.97,WA
1703.98,NV
1628.93,LA
1458.77,MS
1304.75,CT
1270.97,RI
1164.97,ON
1149.99,VT
1040.99,SK
920.72,ID
872.97,AB
840.98,MB
789.99,NM
659.97,MT
619,SD
503.22,OK
499.98,WV
218.63,WY
0,OR
0,AK
0,NH
