count,state
549957.88,MD
211563.2,FL
186942.95,IL
172244.49,IA
109746.21,DC
89770.49,OH
89280.8,TX
88737.54,CA
86520.09,PA
67895.44,NY
62609.61,NC
56004.43,AL
31619.15,MN
30082.15,GA
26817.23,WI
26067.82,MI
24377.93,AZ
20181.68,NJ
15667.95,CO
14448.67,MO
12645.28,VA
10629.2,KY
9990.69,TN
9857.7,UT
9348.85,NV
8321.51,ND
6478.31,LA
6143.85,HI
5502.75,CT
5092.75,KS
4886.89,DE
4860.92,MA
4399.95,SC
4132.98,AR
3759.21,IN
3350.95,WA
2958.76,MS
2867.94,NE
2818.48,ME
2449.95,VT
2139.97,NM
2126.97,RI
1522.97,ON
1443.72,OK
1040.99,SK
920.72,ID
872.97,AB
840.98,MB
659.97,MT
619,SD
609,NH
499.98,WV
218.63,WY
139,BC
0,AK
0,OR
