tickets ,county,state
3868,Wythe,VA
20678,Campbell,VA
2718,Montgomery,VA
2149,Braxton,WV
1304,Brunswick,VA
922,Logan,WV
1313,Harrison,WV
1,Berkely,WV
0,Sussex,VA
0,Patrick,VA
10,York,PA
1,Cabell,WV
5991,Nicholas,WV
7966,Lewis,WV
2089,Grant,WV
7618,Lynchburg,VA
1440,Augusta,VA
287,Pittsylvania,VA
0,Buckingham,VA
6,Franklin,PA
0,Blair,PA
5103,Fayette,WV
40563,Shenandoah,VA
3928,Allegheny,VA
5338,Appomattox,VA
3099,Webster,WV
1968,Clearfield,VA
2467,Nottoway,VA
0,Roanoke,VA
0,Fairfax,VA
0,Putnam,WV
0,Winchester,VA
8355,Russell,VA
4259,Garrett,MD
3104,Covington,VA
11449,McDowell,WV
1158,Wythe,VA
126,Dickenson,VA
200,Raleigh,WV
454,Frederick,VA
308,Lunenburg,VA
166,Mineral,WV
2,Danville,VA
1,Washington,MD
1,Mercer,WV
2476,Pulaski,VA
1380,Gilmer,WV
228,Cumberland,VA
949,Calhoun,WV
492,Wise,VA
5,Washington,MD
0,Surry,VA
0,Kanawha,WV
0,Floyd,VA
67,Page,VA
0,Nelson,VA
4662,Montgomery,VA
20616,Bedford,VA
20689,Franklin,VA
34,LYNCTY,VA
29,Tazewell,VA
59,Doddridge,WV
0,Hardy,WV
3,Cumberland,PA
15073,WYOM,WV
1946,Mecklenburg,VA
1793,Pendleton,WV
1430,Mingo,WV
1287,Boone,WV
521,Greene,WV
83,Warren,VA
0,Clarke,VA
0,Albemarle,VA
0,Monongalia,WV
0,Craig,VA
0,Loudoun,VA
620,Botetourt,VA
1401,Barbour,WV
3843,Prince Edward,VA
1286,Charles City,VA
1553,Pocahontas,WV
0,Morgan,WV
