TTNBR,SERVICEACCTNBR,ServiceType,TROUBLECODEDESC,CONTACTDATETIME,Longitude,Latitude
498712,404011,Network,NET-No Internet Connection,1-May-17,-80.56761,37.114199
498713,723981,Cable,CAB-DTA,1-May-17,-79.323023,39.423707
498714,287613,Network,NET-No Internet Connection,1-May-17,-79.657042,37.106991
498715,728592,Network,Drop - Aerial,1-May-17,-81.417489,37.573366
498716,519551,Network,NET-Intermittent Connection,1-May-17,-80.402131,37.130387
498717,591637,Network,NET-Intermittent Connection,1-May-17,-80.576964,37.146625
498718,172498,Network,NET-Intermittent Connection,1-May-17,-80.424182,37.135182
498719,661965,Cable,CAB-Poor Quality-All Channels,1-May-17,-79.075052,37.275092
498720,30689,Network-Res DSL,NET-No Internet Connection,1-May-17,-78.752936,38.820019
498721,558853,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,1-May-17,-80.478879,39.015119
498722,728431,Prospect Account,Serviceability Check - RES,1-May-17,-81.236414,36.899211
498723,519825,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,1-May-17,-79.381601,39.401738
498726,398750,Network - Business Cust,NET-No Internet Connection,1-May-17,-80.417739,37.131102
498727,728671,Prospect Account,Serviceability Check - RES,1-May-17,-79.270755,37.296991
498728,26214,Network-Res DSL,NET-No Internet Connection,1-May-17,-78.594149,38.808933
498731,233648,Network,NET-No Internet Connection,1-May-17,-78.833646,37.363566
500806,379429,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,13-May-17,-79.620919,37.002124
500807,3156,Cable,CAB-Loss of All Channels,13-May-17,-78.584098,38.832646
500811,236248,Network,NET-Intermittent Connection,13-May-17,-80.43082,37.16046
500813,533642,Network,NET-Intermittent Connection,13-May-17,-78.841694,37.354771
500814,659188,Network,NET-No Internet Connection,13-May-17,-79.867476,36.967159
500815,290495,VOIP-Res-ShenTel Cable,TEL-Features Not Working,13-May-17,-79.261787,37.301732
500817,495972,Network-Res DSL,NET-Slow Speed,13-May-17,-79.086812,38.346257
500819,476533,Cable - Business Customer,CAB-DTA,13-May-17,-81.056637,36.952706
500820,705987,Network,NET-No Internet Connection,14-May-17,-79.405229,39.405774
500822,543265,Network,NET-Intermittent Connection,14-May-17,-81.091932,38.134441
500824,629390,Network,NET-Intermittent Connection,14-May-17,-79.277725,37.303096
500825,49660,Residential Phone,TEL-No Dial Tone,14-May-17,-78.430214,39.077522
500827,727955,Cable,CAB-Poor Quality-One Channel,14-May-17,-80.542657,37.133743
500828,603984,Cable,CAB-Poor Quality-All Channels,14-May-17,-79.692224,37.133431
500831,256252,Cable,CAB-Maestro,14-May-17,-80.436193,37.148467
501071,690885,Cable,CAB-Loss of All Channels,16-May-17,-79.514383,37.341012
501072,26512,Network-Res DSL,NET-Intermittent Connection,16-May-17,-78.435403,38.82973
501075,252093,Cable,CAB-Loss of All Channels,16-May-17,-78.452184,37.266732
501076,237966,Cable,CAB-Loss of Some Channels,16-May-17,-79.245594,37.348191
501079,426213,Cable,CAB-Poor Quality-All Channels,16-May-17,-79.122204,37.331787
501080,127305,Cable,CAB-Poor Quality-All Channels,16-May-17,-80.653837,38.314077
501081,729832,Network,NET-No Internet Connection,16-May-17,-79.401494,39.414794
501086,259129,Cable,CAB-Poor Quality-All Channels,16-May-17,-79.650914,37.111558
501357,538808,Special Circuit,SPC-Special Circuit Issue,17-May-17,-78.358114,38.995805
501359,531074,VOIP-Bus ShenTel Cable,TEL-Noise On Line,17-May-17,-79.238848,37.331348
501361,539322,Business Phone,TEL-Not Receiving Calls,17-May-17,-78.497954,38.890929
501365,658637,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,17-May-17,-80.549097,38.219657
501366,144461,Cable,Drop - Aerial,17-May-17,-79.12373,39.000322
501367,585766,1-Res Cable Modem,NET-Intermittent Connection,17-May-17,-78.349753,38.984972
501369,484573,Network - Business Cust,NET-No Internet Connection,17-May-17,-79.522029,37.337754
501370,254341,Cable,CAB-Loss of All Channels,17-May-17,-80.396305,37.137225
501644,653424,VOIP-Bus ShenTel Cable,TEL-No Dial Tone,19-May-17,-80.516068,37.101302
501645,449430,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,19-May-17,-81.142978,37.979826
501653,307875,Residential Phone,TEL-No Dial Tone,19-May-17,-78.795893,38.804553
501654,266217,Cable,CAB-Loss of All Channels,19-May-17,-79.944781,36.950183
501655,731512,Prospect Account,Serviceability Check - RES,19-May-17,-80.420608,37.147882
501656,202042,Network-Res DSL,NET-No Internet Connection,19-May-17,-78.443172,38.944319
501657,731516,Prospect Account,Serviceability Check - RES,19-May-17,-79.09191,37.268724
501658,731016,Network,Drop - Aerial,19-May-17,-80.591124,37.157427
501659,468780,Cable,CAB-Audio,19-May-17,-81.644928,37.750009
501955,724770,Residential Phone,TEL-No Dial Tone,22-May-17,-78.383936,39.024204
501956,511547,Network,NET-Intermittent Connection,22-May-17,-81.68581,37.303725
501957,127451,Cable,CAB-Equipment,22-May-17,-80.648586,38.33279
501958,233307,Cable,CAB-Equipment,22-May-17,-78.85119,37.3443
501959,282234,Cable,CAB-Loss of All Channels,22-May-17,-79.630884,37.086982
501960,440902,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,22-May-17,-79.525561,37.347459
501962,259714,Cable - Business Customer,CAB-Equipment,22-May-17,-79.621773,37.056671
501963,300530,Residential Phone,TEL-No Dial Tone,22-May-17,-78.771027,38.818669
501966,507505,Network,NET-Intermittent Connection,22-May-17,-79.312183,37.339921
501974,40081,Cable - Business Customer,CAB-Loss of All Channels,22-May-17,-78.523674,38.872099
502240,544700,Cable,CAB-Maestro,23-May-17,-80.56761,37.114199
502242,731654,Cable,Drop - Aerial,23-May-17,-79.943749,38.980776
502243,35189,Cable,CAB-Loss of Some Channels,23-May-17,-78.508786,38.891794
502246,732119,Prospect Account,SALES Evaluation - Small Bus,23-May-17,-79.970183,37.77688
502248,449418,Alarm Monitoring,ALM-Alarm Service Not Working,23-May-17,-78.367044,39.000591
502249,676442,Network-Prepaid Svcs,NET-No Internet Connection,23-May-17,-80.485629,37.142309
502251,515300,Network,NET-No Internet Connection,23-May-17,-79.360086,37.313241
502545,679021,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,25-May-17,-79.267039,37.299536
502548,235303,Cable,CAB-Loss of Some Channels,25-May-17,-79.125326,37.337724
502550,690781,Network,NET-No Internet Connection,25-May-17,-80.442016,37.17003
502551,413981,Business Telephone,TEL-No Dial Tone,25-May-17,-79.957997,37.771097
502552,231890,Cable,CAB-Poor Quality-All Channels,25-May-17,-81.618627,37.696479
502555,250728,Network,Drop Bury - Post Install,25-May-17,-79.166249,37.266556
502558,709229,Network-Res DSL,NET-Intermittent Connection,25-May-17,-78.638592,38.75079
502559,716807,Network,NET-No Internet Connection,25-May-17,-80.450944,39.039594
502560,280228,Cable,Drop - Aerial,25-May-17,-77.729797,39.323199
502829,696361,Cable,CAB-Maestro,27-May-17,-80.552176,38.413574
502830,27703,Residential Phone,TEL-No Dial Tone,27-May-17,-78.356647,38.983232
502831,633458,Cable,CAB-Equipment,27-May-17,-79.37427,39.501662
502832,518975,Network,NET-No Internet Connection,27-May-17,-79.071888,37.295866
502836,641519,Cable,CAB-Loss of Some Channels,27-May-17,-78.390411,37.325568
502838,57913,Residential Phone,TEL-No Dial Tone,27-May-17,-78.410829,39.065241
502839,13316,Residential Phone,TEL-No Dial Tone,27-May-17,-78.609286,38.87464
502840,26648,Network-Res DSL,NET-No Internet Connection,27-May-17,-78.365166,38.988889
502841,732789,Prospect Account,Serviceability Check - RES,27-May-17,-80.49242,37.125953
502843,428850,Cable,CAB-Loss of All Channels,27-May-17,-78.360149,38.987564
502846,495775,VOIP-Bus ShenTel Cable,TEL-Calls Dropping,27-May-17,-80.536841,37.12371
503127,558786,Cable,CAB-Equipment,30-May-17,-79.162122,37.282597
503128,732994,Prospect Account,Serviceability Check - RES,30-May-17,-79.324744,37.314632
503129,34597,Residential Phone,TEL-Noise On Line,30-May-17,-78.796312,38.75642
503130,259372,Network,NET-Intermittent Connection,30-May-17,-79.669569,37.104167
503131,733000,Prospect Account,Serviceability Check - RES,30-May-17,-79.312127,37.288395
503132,649193,Cable,CAB-Poor Quality-All Channels,30-May-17,-79.226877,37.336683
503135,385134,Cable,CAB-Loss of All Channels,30-May-17,-78.363104,38.98704
503136,697626,Network,NET-Intermittent Connection,30-May-17,-79.236333,37.305781
503137,657092,Cable,CAB-DTA,30-May-17,-77.99734,37.078318
503138,728709,Cable,CAB-Loss of All Channels,30-May-17,-79.934281,39.024286
503139,485359,Network-Res DSL,NET-Intermittent Connection,30-May-17,-78.994837,38.849509
503141,629850,Cable,CAB-DTA,30-May-17,-79.61107,37.054755
503364,461578,Cable,CAB-Loss of All Channels,31-May-17,-81.431747,37.415645
503366,665193,Network - Business Cust,NET-No Internet Connection,31-May-17,-80.555378,37.141077
503367,11034,Residential Phone,TEL-Not Receiving Calls,31-May-17,-78.600191,38.783135
503368,252663,Cable,CAB-Equipment,31-May-17,-78.504456,37.309463
503369,718506,VOIP-Res-ShenTel Cable,TEL-Calls Dropping,31-May-17,-80.392009,37.147869
503372,631323,Cable,CAB-Equipment,31-May-17,-79.270181,37.293004
503373,649191,Network,NET-No Internet Connection,31-May-17,-79.299856,37.381597
503374,733313,Prospect Account,Serviceability Check - RES,31-May-17,-81.976469,37.011688
503375,713951,Network-Prepaid Svcs,NET-No Internet Connection,31-May-17,-80.420914,39.023373
499946,729780,Prospect Account,Serviceability Check - RES,8-May-17,-80.424182,37.135182
499947,729734,Cable,CAB-Loss of All Channels,8-May-17,-80.422253,37.14992
499948,728079,Network,Drop Bury - Post Install,8-May-17,-78.118137,36.965888
499949,556684,Network,NET-Slow Speed,8-May-17,-81.603776,37.263681
499950,729672,Prospect Account,Serviceability Check - RES,8-May-17,-79.0554,37.299286
499951,729782,Prospect Account,Serviceability Check - RES,8-May-17,-81.869996,37.353554
499952,729676,Prospect Account,Serviceability Check - RES,8-May-17,-79.161294,37.258618
