tickets,county,state
3868,Wythe,51
20678,Campbell,51
2718,Montgomery,51
2149,Braxton,54
1304,Brunswick,51
922,Logan,54
1313,Harrison,54
1,Berkely,54
0,Sussex,51
0,trick,51
10,York,42
1,Cabell,54
5991,Nicholas,54
7966,Lewis,54
2089,Grant,54
7618,Lynchburg,51
1440,Augusta,51
287,Pittsylvania,51
0,Buckingham,51
6,Franklin,42
0,Blair,42
5103,Fayette,54
40563,Shenandoah,51
3928,Allegheny,51
5338,Appomattox,51
3099,Webster,54
1968,Clearfield,51
2467,Nottoway,51
0,Roanoke,51
0,Fairfax,51
0,Putnam,54
0,Winchester,51
8355,Russell,51
4259,Garrett,24
3104,Covington,51
11449,McDowell,54
1158,Wythe,51
126,Dickenson,51
200,Raleigh,54
454,Frederick,51
308,Lunenburg,51
166,Mineral,54
2,Danville,51
1,Washington,24
1,Mercer,54
2476,Pulaski,51
1380,Gilmer,54
228,Cumberland,51
949,Calhoun,54
492,Wise,51
5,Washington,24
0,Surry,51
0,Kanawha,54
0,Floyd,51
67,Page,51
0,Nelson,51
4662,Montgomery,51
20616,Bedford,51
20689,Franklin,51
34,LYNCTY,51
29,Tazewell,51
59,Doddridge,54
0,Hardy,54
3,Cumberland,42
15073,WYOM,54
1946,Mecklenburg,51
1793,Pendleton,54
1430,Mingo,54
1287,Boone,54
521,Greene,54
83,Warren,51
0,Clarke,51
0,Albemarle,51
0,Monongalia,54
0,Craig,51
0,Loudoun,51
620,Botetourt,51
1401,Barbour,54
3843,Prince Edward,51
1286,Charles City,51
1553,Pocahontas,54
0,Morgan,54
